<DATE>;;;;;close
20200702;;;;;9091,53
20200703;;;;;9063,87
20200704;;;;;9138,51
20200705;;;;;9074,39
20200706;;;;;9343,31
20200707;;;;;9253,94
20200708;;;;;9435,28
20200709;;;;;9236,95
20200710;;;;;9291,05
20200711;;;;;9235
20200712;;;;;9303,37
20200713;;;;;9236,92
20200714;;;;;9256,94
20200715;;;;;9190,16
20200716;;;;;9130,11
20200717;;;;;9154,29
20200718;;;;;9175,85
20200719;;;;;9212,87
20200720;;;;;9161,05
20200721;;;;;9394,14
20200722;;;;;9536,18
20200723;;;;;9613,24
20200724;;;;;9551,21
20200725;;;;;9711,33
20200726;;;;;9941
20200727;;;;;11048,91
20200728;;;;;10934,23
20200729;;;;;11110,12
20200730;;;;;11115,95
20200731;;;;;11351,62
20200801;;;;;11810,07
20200802;;;;;11068,54
20200803;;;;;11233,13
20200804;;;;;11197,04
20200805;;;;;11756,75
20200806;;;;;11773,89
20200807;;;;;11606,52
20200808;;;;;11774,98
20200809;;;;;11688,48
20200810;;;;;11899,73
20200811;;;;;11388,53
20200812;;;;;11566,45
20200813;;;;;11795,95
20200814;;;;;11779
20200815;;;;;11859,24
20200816;;;;;11918,84
20200817;;;;;12304,26
20200818;;;;;11950
20200819;;;;;11758,87
20200820;;;;;11864,26
20200821;;;;;11529,22
20200822;;;;;11672,93
20200823;;;;;11650,01
20200824;;;;;11753,85
20200825;;;;;11324,92
20200826;;;;;11463,27
20200827;;;;;11330,06
20200828;;;;;11535
20200829;;;;;11474,31
20200830;;;;;11716,01
20200831;;;;;11655
20200901;;;;;11924,22
20200902;;;;;11395,48
20200903;;;;;10172,52
20200904;;;;;10500,05
20200905;;;;;10168,36
20200906;;;;;10257,86
20200907;;;;;10375
20200908;;;;;10125,69
20200909;;;;;10224,56
20200910;;;;;10343,23
20200911;;;;;10394,41
20200912;;;;;10446,52
20200913;;;;;10336,76
20200914;;;;;10679,95
20200915;;;;;10783,75
20200916;;;;;10959,61
20200917;;;;;10943,61
